,date,sales,sales_from_finance,total_ad_spend,corp_Google_DISCOVERY_spend,corp_Google_DISPLAY_spend,corp_Google_PERFORMANCE_MAX_spend,corp_Google_SEARCH_spend,corp_Google_SHOPPING_spend,corp_Google_VIDEO_spend,corp_Horizon_VIDEO_TIER_1_spend,corp_Horizon_VIDEO_TIER_2_spend,corp_Horizon_VIDEO_TIER_3_spend,corp_Horizon_VIDEO_TIER_BC_spend,corp_Horizon_VIDEO_TIER_HISP_spend,corp_Horizon_VIDEO_TIER_NA_spend,corp_Horizon_VIDEO_TIER_OTT_spend,corp_Horizon_VIDEO_TIER_SYND_spend,corp_Impact_AFFILIATE_spend,corp_Meta_SOCIAL_spend,corp_Microsoft_AUDIENCE_spend,corp_Microsoft_SEARCH_CONTENT_spend,corp_Microsoft_SHOPPING_spend,local_Google_DISPLAY_spend,local_Google_LOCAL_spend,local_Google_PERFORMANCE_MAX_spend,local_Google_SEARCH_spend,local_Google_SHOPPING_spend,local_Meta_SOCIAL_spend,local_Simpli_fi_GEO_OPTIMIZED_DISPLAY_spend,local_Simpli_fi_GEO_OPTIMIZED_VIDEO_spend,local_Simpli_fi_SEARCH_DISPLAY_spend,local_Simpli_fi_SEARCH_VIDEO_spend,local_Simpli_fi_SITE_RETARGETING_DISPLAY_spend,local_Simpli_fi_SITE_RETARGETING_VIDEO_spend,stock_market_index,dollar_to_pound,interest_rates,total_ad_spend_Google,total_ad_spend_Simpli,total_ad_spend_Microsoft,total_ad_spend_Meta,total_ad_spend_Impact,total_ad_spend_Horizon
33,2024-09-11,6070,5644.0,692747.610300452,20323.880646,0.0,22655.483348,143135.649499,8916.79,48282.120944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,957.08,133464.11,0.0,9551.04,0.0,0.0,0.0,26648.2218979999,6454.886616,0.0,8444.9,0.0,0.0,0.0,0.0,0.0,0.0,40861.7109375,0.764509975910187,3.65,276417.0329509999,0.0,9551.04,141909.00999999998,957.08,0.0
34,2024-09-10,6116,5718.0,678948.299364906,20580.568656,0.0,16482.458266,157720.410262,7095.92,48285.682899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1199.52,124761.84,0.0,9752.13,0.0,0.0,0.0,24336.93108,7186.160473,0.0,9342.0,0.0,0.0,0.0,0.0,0.0,0.0,40736.9609375,0.765030026435852,3.65,281688.131636,0.0,9752.13,134103.84,1199.52,0.0
35,2024-09-09,6160,5780.0,658459.133225988,20720.540979,0.0,16332.714794,138747.767668,8125.6,50936.219653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130.0,119095.79,0.0,7937.64,0.0,0.0,0.0,25840.1385929999,7489.677846,0.0,8584.76,0.0,0.0,0.0,0.0,0.0,0.0,40829.58984375,0.761420011520386,3.7,268192.65953299985,0.0,7937.64,127680.54999999999,1130.0,0.0
36,2024-09-08,4901,4582.0,576330.118033938,20689.96507,0.0,13732.051783,96106.868284,7863.5,52806.613447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1480.49,102648.24,0.0,4744.98,0.0,0.0,0.0,23982.944727,6683.66458,0.0,8654.51,0.0,0.0,0.0,0.0,0.0,0.0,40345.41015625,0.758870005607605,3.72,221865.60789100002,0.0,4744.98,111302.75,1480.49,0.0
37,2024-09-07,7161,6768.0,606190.15099299,20801.171586,0.0,18669.900681,110299.685177,10110.66,54030.72543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1433.64,101619.89,0.0,5195.49,0.0,0.0,0.0,25986.931209,7411.11924699999,0.0,8603.1,0.0,0.0,0.0,0.0,0.0,0.0,40345.41015625,0.758870005607605,3.72,247310.19332999998,0.0,5195.49,110222.99,1433.64,0.0
38,2024-09-06,7810,7362.0,670947.894553845,20946.478742,0.0,23944.358775,153498.886892,9016.15,54163.733801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1449.55,102002.43,0.0,7826.9,0.0,0.0,0.0,26177.216055,7664.308094,0.0,8417.55,0.0,0.0,0.0,0.0,0.0,0.0,40345.41015625,0.758870005607605,3.72,295411.132359,0.0,7826.9,110419.98,1449.55,0.0
39,2024-09-05,7520,7118.0,689536.044272418,20875.76757,0.0,25002.34672,169138.704903,10206.71,53156.637323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1142.0,108202.15,0.0,8647.59,0.0,0.0,0.0,25114.617571,7214.896942,0.0,8410.79,0.0,0.0,0.0,0.0,0.0,0.0,40755.75,0.760760009288788,3.73,310709.681029,0.0,8647.59,116612.94,1142.0,0.0
40,2024-09-04,7439,6979.0,669012.887109257,20995.425281,0.0,25723.921127,154412.23185,7483.53,54285.916004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.92,111389.85,0.0,7758.4,0.0,0.0,0.0,25949.434827,7410.166715,0.0,8336.73,0.0,0.0,0.0,0.0,0.0,0.0,40974.96875,0.762539982795715,3.77,296260.625804,0.0,7758.4,119726.58,1189.92,0.0
41,2024-09-03,8042,7605.0,634316.266585303,20184.584665,0.0,19332.812504,126736.919048,5059.08,53651.489662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1558.59,113576.97,0.0,8884.45,0.0,0.0,0.0,25891.469149,7593.631754,0.0,8493.79,0.0,0.0,0.0,0.0,0.0,0.0,40936.9296875,0.760919988155365,3.84,258449.98678200002,0.0,8884.45,122070.76000000001,1558.59,0.0
42,2024-09-02,5085,4718.0,600443.343098978,13473.233743,0.0,10657.13002,110681.663679,7611.37,52785.268951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1644.86,111298.33,0.0,7156.45,0.0,0.0,0.0,26735.379456,6707.224929,0.0,9349.17,0.0,0.0,0.0,0.0,0.0,0.0,41563.078125,0.761699974536896,3.91,228651.27077799998,0.0,7156.45,120647.5,1644.86,0.0
